Borough,County,Grade,Poverty Category,Year,# Total Days,# Days Absent,# Days Present,% Attendance,# Contributing 10+ Total Days and 1+ Pres Day,# Chronically Absent,% Chronically Absent
Bronx,Bronx,All Grades,Not Poverty,2018-19,4486011,325072,4160939,92.75365448,27214,5679,20.86793518
Bronx,Bronx,All Grades,Poverty,2018-19,29195861,3124510,26071351,89.29810333,174947,65284,37.3164444
Bronx,Bronx,All Grades,Not Poverty,2019-20,2669112,174680,2494432,93.45549774,24413,4537,18.58436012
Bronx,Bronx,All Grades,Poverty,2019-20,18589103,1871363,16717740,89.93301392,169471,57454,33.90196609
Bronx,Bronx,All Grades,Not Poverty,2020-21,3850658,260937,3589721,93.22357178,23071,4500,19.50500679
Bronx,Bronx,All Grades,Poverty,2020-21,26988707,3357727,23630980,87.55876923,159162,59795,37.56864166
Bronx,Bronx,All Grades,Not Poverty,2021-22,3700769,343544,3357225,90.71695709,22718,7169,31.55647469
Bronx,Bronx,All Grades,Poverty,2021-22,24944021,3515427,21428594,85.90673828,150019,75816,50.53759766
Bronx,Bronx,All Grades,Not Poverty,2022-23,3239181,255258,2983923,92.11967468,20087,5078,25.2800312
Bronx,Bronx,All Grades,Poverty,2022-23,24525340,3020280,21505060,87.68506622,149627,66282,44.29815292
Bronx,Bronx,PK in K-12 Schools,Not Poverty,2018-19,105013,9361,95652,91.08586884,658,245,37.23404312
Bronx,Bronx,PK in K-12 Schools,Poverty,2018-19,802585,99187,703398,87.64155579,4969,2549,51.29804611
Bronx,Bronx,PK in K-12 Schools,Not Poverty,2019-20,88212,8575,79637,90.27909851,842,315,37.41092682
Bronx,Bronx,PK in K-12 Schools,Poverty,2019-20,573632,69396,504236,87.90235138,5431,2672,49.19904327
Bronx,Bronx,PK in K-12 Schools,Not Poverty,2020-21,119809,9706,110103,91.89877319,786,223,28.37150192
Bronx,Bronx,PK in K-12 Schools,Poverty,2020-21,729072,88677,640395,87.83700562,4561,1915,41.98640823
Bronx,Bronx,PK in K-12 Schools,Not Poverty,2021-22,176727,22439,154288,87.30301666,1159,607,52.37273407
Bronx,Bronx,PK in K-12 Schools,Poverty,2021-22,839736,127734,712002,84.78878784,5310,3340,62.90018845
Bronx,Bronx,PK in K-12 Schools,Not Poverty,2022-23,132898,15609,117289,88.2549057,868,431,49.65437698
Bronx,Bronx,PK in K-12 Schools,Poverty,2022-23,1057852,156053,901799,85.24812317,6672,4097,61.40587616
Bronx,Bronx,0K,Not Poverty,2018-19,292317,21041,271276,92.80199432,1768,431,24.3778286
Bronx,Bronx,0K,Poverty,2018-19,2164068,241220,1922848,88.85340118,13022,5938,45.59975433
Bronx,Bronx,0K,Not Poverty,2019-20,185617,13272,172345,92.84979248,1698,405,23.8515892
Bronx,Bronx,0K,Poverty,2019-20,1314598,135261,1179337,89.71084595,12113,4990,41.19541168
Bronx,Bronx,0K,Not Poverty,2020-21,259349,16497,242852,93.63907623,1594,315,19.76160622
Bronx,Bronx,0K,Poverty,2020-21,1734560,224441,1510119,87.06063843,10532,4572,43.41055679
Bronx,Bronx,0K,Not Poverty,2021-22,246152,23590,222562,90.41648865,1525,584,38.29508209
Bronx,Bronx,0K,Poverty,2021-22,1681673,240040,1441633,85.72612,10255,5974,58.25450897
Bronx,Bronx,0K,Not Poverty,2022-23,200226,18506,181720,90.75744629,1235,450,36.43724823
Bronx,Bronx,0K,Poverty,2022-23,1707484,221661,1485823,87.01826477,10434,5581,53.48859406
Bronx,Bronx,1,Not Poverty,2018-19,301181,17708,283473,94.12047577,1810,297,16.40884018
Bronx,Bronx,1,Poverty,2018-19,2325243,226902,2098341,90.24179077,13844,5413,39.09997177
Bronx,Bronx,1,Not Poverty,2019-20,169312,9911,159401,94.1463089,1525,267,17.50819588
Bronx,Bronx,1,Poverty,2019-20,1414806,131667,1283139,90.69363403,12834,4618,35.98254776
Bronx,Bronx,1,Not Poverty,2020-21,236808,11841,224967,94.99974823,1435,221,15.40069675
Bronx,Bronx,1,Poverty,2020-21,1979578,245627,1733951,87.59194946,11708,4812,41.10010147
Bronx,Bronx,1,Not Poverty,2021-22,230899,19785,211114,91.43132019,1427,432,30.27330017
Bronx,Bronx,1,Poverty,2021-22,1753315,234199,1519116,86.64250183,10546,5560,52.72141266
Bronx,Bronx,1,Not Poverty,2022-23,209713,16557,193156,92.10492706,1278,351,27.46478844
Bronx,Bronx,1,Poverty,2022-23,1777838,212730,1565108,88.0343399,10739,5255,48.93379211
Bronx,Bronx,2,Not Poverty,2018-19,299343,17276,282067,94.2286911,1788,290,16.21924019
Bronx,Bronx,2,Poverty,2018-19,2350952,208415,2142537,91.13486481,13875,4851,34.96216202
Bronx,Bronx,2,Not Poverty,2019-20,176656,9387,167269,94.6862793,1594,217,13.61355114
Bronx,Bronx,2,Poverty,2019-20,1456708,121091,1335617,91.68735504,13174,4050,30.74237061
Bronx,Bronx,2,Not Poverty,2020-21,239279,10734,228545,95.51402283,1439,193,13.41209126
Bronx,Bronx,2,Poverty,2020-21,2053082,233165,1819917,88.64317322,12108,4534,37.44631577
Bronx,Bronx,2,Not Poverty,2021-22,225819,17365,208454,92.31021118,1366,358,26.20790672
Bronx,Bronx,2,Poverty,2021-22,1837284,230516,1606768,87.45343781,10944,5436,49.67105103
Bronx,Bronx,2,Not Poverty,2022-23,210356,15013,195343,92.86305237,1267,294,23.20442009
Bronx,Bronx,2,Poverty,2022-23,1769630,193986,1575644,89.03804779,10607,4613,43.49014664
Bronx,Bronx,3,Not Poverty,2018-19,321303,16773,304530,94.7796936,1917,270,14.08450699
Bronx,Bronx,3,Poverty,2018-19,2435895,207134,2228761,91.49659729,14308,4698,32.83477783
Bronx,Bronx,3,Not Poverty,2019-20,178209,9206,169003,94.83415221999999,1613,217,13.45319271
Bronx,Bronx,3,Poverty,2019-20,1476914,114160,1362754,92.27037048,13293,3668,27.59346962
Bronx,Bronx,3,Not Poverty,2020-21,255687,10506,245181,95.8910675,1524,177,11.61417294
Bronx,Bronx,3,Poverty,2020-21,2115284,208953,1906331,90.12174988,12405,4051,32.65618515
Bronx,Bronx,3,Not Poverty,2021-22,226984,17596,209388,92.24790955,1385,379,27.36462021
Bronx,Bronx,3,Poverty,2021-22,1929095,234639,1694456,87.83683777,11463,5436,47.42214203
Bronx,Bronx,3,Not Poverty,2022-23,212445,13867,198578,93.47266388,1289,271,21.02404976
Bronx,Bronx,3,Poverty,2022-23,1813703,184098,1629605,89.84960938,10837,4225,38.98680496
Bronx,Bronx,4,Not Poverty,2018-19,328315,17016,311299,94.81716919,1951,260,13.32649899
Bronx,Bronx,4,Poverty,2018-19,2500317,202996,2297321,91.88118744,14671,4527,30.85679245
Bronx,Bronx,4,Not Poverty,2019-20,187426,8598,178828,95.41259003,1689,192,11.36767292
Bronx,Bronx,4,Poverty,2019-20,1553287,118347,1434940,92.380867,13993,3808,27.21360588
Bronx,Bronx,4,Not Poverty,2020-21,248484,10325,238159,95.84480286,1493,173,11.58740807
Bronx,Bronx,4,Poverty,2020-21,2172045,205744,1966301,90.52763367,12737,4036,31.68721008
Bronx,Bronx,4,Not Poverty,2021-22,248621,17612,231009,92.91612244,1499,345,23.01534271
Bronx,Bronx,4,Poverty,2021-22,1979500,231057,1748443,88.32750702,11728,5380,45.87312317
Bronx,Bronx,4,Not Poverty,2022-23,210548,13812,196736,93.43997192,1263,253,20.03167152
Bronx,Bronx,4,Poverty,2022-23,1929642,193009,1736633,89.99768066,11484,4458,38.81922531
Bronx,Bronx,5,Not Poverty,2018-19,324820,16998,307822,94.76694489,1927,291,15.10119343
Bronx,Bronx,5,Poverty,2018-19,2447591,192742,2254849,92.12523651,14259,4177,29.29377937
Bronx,Bronx,5,Not Poverty,2019-20,195342,9221,186121,95.2795639,1759,208,11.82490063
Bronx,Bronx,5,Poverty,2019-20,1576080,114001,1462079,92.76679993,14139,3599,25.45441628
Bronx,Bronx,5,Not Poverty,2020-21,278268,12057,266211,95.66712952,1646,184,11.17861462
Bronx,Bronx,5,Poverty,2020-21,2266735,212990,2053745,90.60366821,13226,4116,31.12051964
Bronx,Bronx,5,Not Poverty,2021-22,248305,18516,229789,92.54304504,1491,400,26.8276329
Bronx,Bronx,5,Poverty,2021-22,2011248,226924,1784324,88.71725464,11819,5279,44.66537094
Bronx,Bronx,5,Not Poverty,2022-23,229224,14192,215032,93.80867767,1377,252,18.30065346
Bronx,Bronx,5,Poverty,2022-23,1969132,185251,1783881,90.59224701,11645,4220,36.23872757
Bronx,Bronx,6,Not Poverty,2018-19,311078,16294,294784,94.76208496,1831,246,13.4352808
Bronx,Bronx,6,Poverty,2018-19,2317566,183427,2134139,92.08535767,13535,3806,28.11968994
Bronx,Bronx,6,Not Poverty,2019-20,176207,8253,167954,95.31630707,1586,175,11.03404808
Bronx,Bronx,6,Poverty,2019-20,1456279,109470,1346809,92.4828949,13080,3388,25.90214157
Bronx,Bronx,6,Not Poverty,2020-21,261554,12360,249194,95.2743988,1556,227,14.58868885
Bronx,Bronx,6,Poverty,2020-21,2137575,206559,1931016,90.33676147,12474,3948,31.64983177
Bronx,Bronx,6,Not Poverty,2021-22,241098,17602,223496,92.69923401,1441,384,26.64816093
Bronx,Bronx,6,Poverty,2021-22,1949973,233749,1716224,88.01270294,11518,5295,45.97152328
Bronx,Bronx,6,Not Poverty,2022-23,208787,12568,196219,93.98046875,1259,239,18.98332024
Bronx,Bronx,6,Poverty,2022-23,1840600,184403,1656197,89.98136139,10928,4106,37.57320786
Bronx,Bronx,7,Not Poverty,2018-19,319721,17495,302226,94.52803802,1886,280,14.84623528
Bronx,Bronx,7,Poverty,2018-19,2300191,194287,2105904,91.55344391,13449,3984,29.62302017
Bronx,Bronx,7,Not Poverty,2019-20,192839,9496,183343,95.07568359,1739,228,13.11098289
Bronx,Bronx,7,Poverty,2019-20,1488352,115347,1373005,92.25001526,13305,3509,26.37354469
Bronx,Bronx,7,Not Poverty,2020-21,273006,15053,257953,94.48619843,1625,265,16.30769157
Bronx,Bronx,7,Poverty,2020-21,2140927,218133,1922794,89.8112793,12452,4029,32.35624695
Bronx,Bronx,7,Not Poverty,2021-22,269930,20648,249282,92.35060883,1627,433,26.61339951
Bronx,Bronx,7,Poverty,2021-22,2003486,242002,1761484,87.92095184,11774,5311,45.10786438
Bronx,Bronx,7,Not Poverty,2022-23,230786,14258,216528,93.82198334,1388,265,19.0922184
Bronx,Bronx,7,Poverty,2022-23,1926641,206219,1720422,89.29644775,11435,4560,39.87756729
